store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
8419537941919820732,60,24,168,0,0,0
54515546588432327,60,5,5,0,0,0
8377465688456570187,60,5,5,0,0,0
5955337179846162144,60,5,5,0,0,0
1169347689335808384,60,5,5,0,0,0
3739729523266121270,60,24,168,0,0,0
4430370444829587327,60,24,168,0,0,0
1912555533282230523,60,5,5,0,0,0
5489547402882838709,60,5,5,0,0,0
759601765366096871,60,24,168,0,0,0
5627904252074297008,60,5,5,0,0,0
2651685499613063745,60,24,168,0,0,0
5043046815492880667,60,24,168,0,0,0
2367299134091594697,60,12,71,97,12,97
6613902849003357359,60,24,168,0,0,0
1396650693591399695,60,24,168,0,0,0
837699569013981799,60,24,139,29,0,29
2057963137235512954,60,24,168,0,0,0
6108568838704593560,60,24,168,0,0,0
7815590034868021689,60,23,161,7,1,7
7493928216510270665,60,24,168,0,0,0
7961038966240415760,60,5,5,0,0,0
605803287923472894,60,5,5,0,0,0
5278384915350904550,60,5,5,0,0,0
8494749731668571682,60,5,5,0,0,0
4858828967449392712,60,5,5,0,0,0
7555752115160416405,60,5,5,0,0,0
8625022238145771938,60,5,5,0,0,0
4159147177864939740,60,5,5,0,0,0
8157355919956132858,60,5,5,0,0,0
3595154674145356045,60,24,168,0,0,0
5693932324957995427,60,24,168,0,0,0
8631502755712457479,60,5,5,0,0,0
7369215549436595643,60,5,5,0,0,0
5733393565264082443,60,5,5,0,0,0
4681743429609749121,60,5,5,0,0,0
2567728765809290933,60,24,168,0,0,0
284239040495575980,60,24,168,0,0,0
6656463669299127947,60,23,162,6,1,6
9184109988854973601,60,5,5,0,0,0
6031574077635056029,60,24,168,0,0,0
9111813718630350474,60,24,168,0,0,0
8750493480383302874,60,10,113,55,14,55
3048405945625600463,60,24,168,0,0,0
3983786718839842887,60,24,168,0,0,0
5047154360023757128,60,24,168,0,0,0
7933946190613920010,60,5,5,0,0,0
379226339704530410,60,24,168,0,0,0
1253356761818562621,60,5,5,0,0,0
4755926456158904833,60,24,168,0,0,0
8803894796084290585,60,5,5,0,0,0
6836033035108373086,60,24,121,47,0,47
2639750514662973687,60,5,5,0,0,0
1040732551176103056,60,5,5,0,0,0
8304911926566338483,60,24,168,0,0,0
3361278033591045661,60,24,168,0,0,0
2601623541509400542,60,5,5,0,0,0
8207758013351082541,60,5,5,0,0,0
4249300502744464539,60,24,168,0,0,0
881974164067848799,60,5,5,0,0,0
4031771205466256346,60,24,168,0,0,0
8117247589549708019,60,5,5,0,0,0
5223121655148958959,60,24,168,0,0,0
5281145666427062582,60,24,125,0,0,0
7103249743888768279,60,5,3,2,0,2
6937872202603482963,60,5,5,0,0,0
4359897525988670130,60,5,5,0,0,0
8668949117244880140,60,5,5,0,0,0
329697652999698776,60,5,5,0,0,0
2873839205725435068,60,5,5,0,0,0
1634983772484395625,60,24,166,2,0,2
8754037299794781932,60,24,167,1,0,1
8478659457975884995,60,24,168,0,0,0
3173528025538718452,60,24,168,0,0,0
1172776965412058288,60,24,168,0,0,0
8050904836920798206,0,10,59,109,14,109
3485383537492459194,60,5,5,0,0,0
7791569942019889767,60,24,168,0,0,0
7647796266115725856,60,5,5,0,0,0
7372385631979013974,60,24,168,0,0,0
1886094822273762805,60,24,168,0,0,0
1921227243936268124,60,5,5,0,0,0
2670800031826856367,60,24,168,0,0,0
2529970021684233025,60,24,168,0,0,0
3390153829311738919,60,5,5,0,0,0
2723172216807087715,60,24,168,0,0,0
3457174951287490032,60,24,168,0,0,0
1557691556894768738,60,24,168,0,0,0
4395688375231610603,60,24,168,0,0,0
3480535111316179789,0,2,1,4,3,4
8080175208160124283,60,5,5,0,0,0
4894791864539115200,60,5,5,0,0,0
6529727365761998945,60,24,168,0,0,0
2937297056410899541,60,24,168,0,0,0
7257064183173214729,60,5,5,0,0,0
3151529852031249810,60,5,5,0,0,0
8258804424046746943,60,5,5,0,0,0
6614523831540505463,60,5,5,0,0,0
1826435698432426239,60,24,168,0,0,0
4333246355539626670,60,24,168,0,0,0
