store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
8419537941919820732,60,24,168,0,0,0
54515546588432327,0,5,0,0,0,0
8377465688456570187,0,5,0,0,0,0
5955337179846162144,0,5,0,0,0,0
1169347689335808384,0,5,0,0,0,0
3739729523266121270,0,5,0,0,0,0
4430370444829587327,0,5,0,0,0,0
1912555533282230523,0,5,0,0,0,0
5489547402882838709,0,5,0,0,0,0
759601765366096871,60,24,168,0,0,0
5627904252074297008,0,5,0,0,0,0
2651685499613063745,60,24,168,0,0,0
5043046815492880667,60,24,168,0,0,0
2367299134091594697,60,12,71,97,12,97
6613902849003357359,60,24,168,0,0,0
1396650693591399695,60,24,168,0,0,0
837699569013981799,60,24,139,29,0,29
2057963137235512954,60,24,168,0,0,0
6108568838704593560,60,24,168,0,0,0
7815590034868021689,60,23,161,7,1,7
7493928216510270665,60,24,168,0,0,0
7961038966240415760,0,5,0,0,0,0
605803287923472894,0,5,0,0,0,0
5278384915350904550,0,5,0,0,0,0
8494749731668571682,0,5,0,0,0,0
4858828967449392712,0,5,0,0,0,0
7555752115160416405,0,5,0,0,0,0
8625022238145771938,0,5,0,0,0,0
4159147177864939740,0,5,0,0,0,0
8157355919956132858,0,5,0,0,0,0
3595154674145356045,0,5,0,0,0,0
5693932324957995427,0,5,0,0,0,0
8631502755712457479,0,5,0,0,0,0
7369215549436595643,0,5,0,0,0,0
5733393565264082443,0,5,0,0,0,0
4681743429609749121,0,5,0,0,0,0
2567728765809290933,0,5,0,0,0,0
284239040495575980,0,5,0,0,0,0
6656463669299127947,60,23,162,6,1,6
9184109988854973601,0,5,0,0,0,0
6031574077635056029,60,24,168,0,0,0
9111813718630350474,60,24,168,0,0,0
8750493480383302874,60,10,113,55,14,55
3048405945625600463,60,24,168,0,0,0
3983786718839842887,60,24,168,0,0,0
5047154360023757128,60,24,168,0,0,0
7933946190613920010,0,5,0,0,0,0
379226339704530410,0,5,0,0,0,0
1253356761818562621,0,5,0,0,0,0
4755926456158904833,0,5,0,0,0,0
8803894796084290585,0,5,0,0,0,0
6836033035108373086,0,5,0,0,0,0
2639750514662973687,0,5,0,0,0,0
1040732551176103056,0,5,0,0,0,0
8304911926566338483,0,5,0,0,0,0
